Sl. No.,State/UT,ISFR 2019,ISFR 2021,ISFR 2023
1,Andhra Pradesh,29137,30223.62,30084.96
2,Arunachal Pradesh,66688,65972.74,65881.57
3,Assam,28327,28325.31,28313.55
4,Bihar,7306,7403.26,7532.45
5,Chhattisgarh,55611,55830.88,55811.75
6,Delhi,195.44,195.36,195.28
7,Goa,2237,2267.22,2265.72
8,Gujarat,14857,14836.57,15016.64
9,Haryana,1602,1628.22,1614.26
10,Himachal Pradesh,15434,15525.62,15580.35
11,Jharkhand,23611,23706.97,23765.78
12,Karnataka,38575,39106.57,39254.27
13,Kerala,21144,21925.94,22059.36
14,Madhya Pradesh,77482,77444.98,77073.44
15,Maharashtra,50778,50913,50858.53
16,Manipur,16847,16640.29,16585.46
17,Meghalaya,17119,16996.84,16966.84
18,Mizoram,18006,17748.73,17990.46
19,Nagaland,12486,12274.36,12222.47
20,Odisha,51619,52281.67,52433.56
21,Punjab,1849,1846.54,1846.09
22,Rajasthan,16630,16632.01,16548.21
23,Sikkim,3342,3353.21,3358.4
24,Tamil Nadu,26364,26511.18,26450.22
25,Telangana,20582,21279.46,21179.04
26,Tripura,7726,7680.08,7584.77
27,Uttar Pradesh,14806,14927.37,15045.8
28,Uttarakhand,24303,24326.81,24303.83
29,West Bengal,16902,16782.11,16832.33
30,Andaman and Nicobar Islands,6743,6736.94,6732.92
31,Chandigarh,22.03,23.8,25
32,Dadra and Nagar Haveli and Daman and Diu,227.49,225.94,225.62
33,Jammu and Kashmir,21358,21262.84,21346.39
34,Ladakh,2254,2278.55,2285.92
35,Lakshadweep,27.1,27.06,27.06
36,Puducherry,52.41,44.15,44.31
Grand Total,Grand Total,712249,715186.2,715342.61
